highest,monthYear,count,country
Governance,2015-02-01,309,Total
Governance,2015-03-01,395,Total
Governance,2015-04-01,235,Total
Governance,2015-05-01,225,Total
Governance,2015-06-01,334,Total
Governance,2015-07-01,182,Total
Governance,2015-08-01,154,Total
Governance,2015-09-01,47,Total
Health,2011-05-01,1779,Total
Health,2011-06-01,475,Total
Health,2011-07-01,94,Total
Health,2011-08-01,60,Total
Health,2011-09-01,89,Total
Health,2011-10-01,254,Total
Health,2011-11-01,240,Total
Health,2011-12-01,136,Total
Health,2012-01-01,258,Total
Health,2012-02-01,145,Total
Health,2012-03-01,145,Total
Health,2012-04-01,115,Total
Health,2012-05-01,2568,Total
Health,2012-06-01,1059,Total
Health,2012-07-01,481,Total
Health,2012-08-01,582,Total
Health,2012-09-01,557,Total
Health,2012-10-01,697,Total
Health,2012-11-01,596,Total
Health,2012-12-01,496,Total
Health,2013-01-01,488,Total
Health,2013-02-01,485,Total
Health,2013-03-01,772,Total
Health,2013-04-01,470,Total
Health,2013-05-01,6693,Total
Health,2013-06-01,3206,Total
Health,2013-07-01,451,Total
Health,2013-08-01,594,Total
Health,2013-09-01,941,Total
Health,2013-10-01,971,Total
Health,2013-11-01,1350,Total
Health,2013-12-01,439,Total
Health,2014-01-01,2425,Total
Health,2014-02-01,1003,Total
Health,2014-03-01,1134,Total
Health,2014-04-01,1096,Total
Health,2014-05-01,2594,Total
Health,2014-06-01,1157,Total
Health,2014-07-01,799,Total
Health,2014-08-01,3421,Total
Health,2014-09-01,858,Total
Health,2014-10-01,1123,Total
Health,2014-11-01,702,Total
Health,2014-12-01,606,Total
Health,2015-01-01,863,Total
Health,2015-02-01,895,Total
Health,2015-03-01,1433,Total
Health,2015-04-01,735,Total
Health,2015-05-01,754,Total
Health,2015-06-01,1371,Total
Health,2015-07-01,587,Total
Health,2015-08-01,388,Total
Health,2015-09-01,173,Total
Housing,2011-05-01,1111,Total
Housing,2011-06-01,290,Total
Housing,2011-07-01,61,Total
Housing,2011-08-01,37,Total
Housing,2011-09-01,48,Total
Housing,2011-10-01,148,Total
Housing,2011-11-01,128,Total
