highest,monthYear,count,country
Community,2014-04-01,0,AIA
Community,2014-05-01,0,AIA
Community,2014-06-01,0,AIA
Community,2014-07-01,0,AIA
Community,2014-08-01,1,AIA
Community,2014-09-01,1,AIA
Community,2014-10-01,0,AIA
Community,2014-11-01,0,AIA
Community,2014-12-01,1,AIA
Community,2015-01-01,0,AIA
Community,2015-02-01,0,AIA
Community,2015-03-01,1,AIA
Community,2015-04-01,0,AIA
Community,2015-05-01,0,AIA
Community,2015-06-01,0,AIA
Community,2015-07-01,0,AIA
Community,2015-08-01,0,AIA
Community,2015-09-01,0,AIA
Community,2011-05-01,0,ALB
Community,2011-06-01,1,ALB
Community,2011-07-01,0,ALB
Community,2011-08-01,0,ALB
Community,2011-09-01,0,ALB
Community,2011-10-01,0,ALB
Community,2011-11-01,0,ALB
Community,2011-12-01,0,ALB
Community,2012-01-01,0,ALB
Community,2012-02-01,0,ALB
Community,2012-03-01,0,ALB
Community,2012-04-01,0,ALB
Community,2012-05-01,1,ALB
Community,2012-06-01,1,ALB
Community,2012-07-01,0,ALB
Community,2012-08-01,0,ALB
Community,2012-09-01,3,ALB
Community,2012-10-01,0,ALB
Community,2012-11-01,0,ALB
Community,2012-12-01,0,ALB
Community,2013-01-01,0,ALB
Community,2013-02-01,0,ALB
Community,2013-03-01,1,ALB
Community,2013-04-01,0,ALB
Community,2013-05-01,4,ALB
Community,2013-06-01,0,ALB
Community,2013-07-01,2,ALB
Community,2013-08-01,0,ALB
Community,2013-09-01,0,ALB
Community,2013-10-01,4,ALB
Community,2013-11-01,2,ALB
Community,2013-12-01,0,ALB
Community,2014-01-01,1,ALB
Community,2014-02-01,1,ALB
Community,2014-03-01,0,ALB
Community,2014-04-01,1,ALB
Community,2014-05-01,1,ALB
Community,2014-06-01,2,ALB
Community,2014-07-01,0,ALB
